"REFERENCIA","CREDITOS","OFERTADA","NOMBRE","CURSO","CARACTER","DURACION","Unidad_Temporal_(Cuatrimestre)","IDIOMAS_DE_IMPARTICION","TITULACION_CODIGO","CODIGO"
"51722",6,"Sí  ","Diseño de Infraestructuras Informáticas",4,"","1º Semestre",,"",1043,404
"51725",6,"Sí  ","Programación Distribuida",4,"","1º Semestre",,"",1043,405
"51739",12,"Sí  ","Trabajo Fin de Grado",4,"","2º Semestre",,"",1043,450
"53407",4,5,"No  ","Análisis de Datos de Expresión Génica",4,"","1º Semestre",,"",1056,820
"53408",4,5,"No  ","Biofísica",4,"","1º Semestre",,"",1056,821
"53409",4,5,"No  ","Biología Sintética",4,"","1º Semestre",,"",1056,822
"53410",4,5,"No  ","Computación en Biotecnología",4,"","1º Semestre",,"",1056,823
"53411",4,5,"No  ","Sistemas Biológicos Complejos",4,"","1º Semestre",,"",1056,824
"53417",4,5,"Sí  ","Biofísica Celular y Tisular",4,"","1º Semestre",,"",1056,830
"53418",4,5,"Sí  ","Ingeniería de Tejidos",4,"","1º Semestre",,"",1056,831
"53419",4,5,"Sí  ","Prostética",4,"","1º Semestre",,"",1056,832
"53420",4,5,"Sí  ","Robótica Médica",4,"","1º Semestre",,"",1056,833
"53421",4,5,"No  ","Sistemas de Control y Biomecatrónica",4,"","1º Semestre",,"",1056,834
"53422",4,5,"Sí  ","Sistemas de Rehabilitación y Ayuda a la Discapacidad",4,"","2º Semestre",,"",1056,835
"53413",4,5,"Sí  ","Aprendizaje Computacional",4,"","1º Semestre",,"",1056,920
"53412",4,5,"Sí  ","Almacenes de Datos",4,"","1º Semestre",,"",1056,921
"53414",4,5,"Sí  ","Estándares de Datos Abiertos e Integración de Datos",4,"","1º Semestre",,"",1056,922
"53415",4,5,"Sí  ","Ingeniería Web",4,"","1º Semestre",,"",1056,923
"53416",4,5,"No  ","Minería de Textos",4,"","2º Semestre",,"",1056,924
"53424",4,5,"Sí  ","Bioseñales Médicas",4,"","2º Semestre",,"",1056,930
"53425",4,5,"Sí  ","Microtecnología y Nanotecnología en Biomedicina",4,"","2º Semestre",,"",1056,931
"53423",4,5,"Sí  ","Modelado de Sistemas Biomédicos",4,"","1º Semestre",,"",1056,932
"53426",4,5,"Sí  ","Seguridad, Ética y Regulación en Ingeniería Biomédica",4,"","2º Semestre",,"",1056,933
"53427",4,5,"No  ","Telemedicina",4,"","2º Semestre",,"",1056,934
"53830",6,"No  ","Arquitectura de Sistemas y Software de Base (SE)",4,"","1º Semestre",,"",1056,935
"53831",4,5,"No  ","Computación Orientada a Servicios (SE)",4,"","1º Semestre",,"",1056,936
"53832",4,5,"No  ","Gestión de Proyectos Informáticos (SE)",4,"","1º Semestre",,"",1056,937
"53833",6,"No  ","Gestión de Servicios y Tecnologías de la Información (SE)",4,"","1º Semestre",,"",1056,938
"53834",4,5,"No  ","Gestión del Cambio, Comunicación y Liderazgo (SE)",4,"","1º Semestre",,"",1056,939
"53835",4,5,"No  ","Minería de Datos Clínicos (SE)",4,"","1º Semestre",,"",1056,940
"53836",4,5,"No  ","Proyectos de Informática Clínica (SE)",4,"","2º Semestre",,"",1056,941
"53837",4,5,"No  ","Sistemas de Información para Teleasistencia y Atención Remota (SE)",4,"","2º Semestre",,"",1056,942
"53838",4,5,"No  ","Tecnología de las Comunicaciones (SE)",4,"","2º Semestre",,"",1056,943
"53839",4,5,"No  ","Tecnologías para la Administración Electrónica (SE)",4,"","2º Semestre",,"",1056,944
"53840",4,5,"No  ","Ética y Legislación en Salud (SE)",4,"","2º Semestre",,"",1056,945
"51487",12,"Sí  ","Álgebra Lineal y Geometría",1,"","1º y 2º ",,"",1073,101
"51478",6,"Sí  ","Análisis Matemático I",1,"","1º Semestre",,"",1073,102
"51479",6,"Sí  ","Estructuras Básicas del Álgebra",1,"","1º Semestre",,"",1073,103
"51483",6,"Sí  ","Análisis Matemático II",1,"","2º Semestre",,"",1073,107
"51484",6,"Sí  ","Estructuras Algebraicas",1,"","2º Semestre",,"",1073,108
"51481",6,"Sí  ","Matemática Discreta",2,"","1º Semestre",,"Ningún grupo",1073,201
"51488",6,"Sí  ","Análisis Matemático III",2,"","1º Semestre",,"",1073,202
"51489",6,"Sí  ","Ecuaciones Diferenciales I",2,"","1º Semestre",,"",1073,203
